iter	Passed	Remaining
403	7274	10731
404	7291	10712
405	7308	10693
406	7325	10673
407	7342	10653
408	7359	10634
409	7376	10615
410	7393	10595
411	7410	10576
412	7428	10558
413	7445	10539
414	7462	10519
415	7479	10499
416	7496	10480
417	7513	10461
418	7557	10478
419	7582	10470
420	7607	10462
421	7624	10443
422	7642	10424
423	7660	10406
424	7677	10387
425	7695	10368
426	7712	10349
427	7729	10330
428	7747	10311
429	7764	10292
430	7782	10274
431	7800	10255
432	7818	10237
433	7835	10219
434	7852	10199
435	7870	10180
436	7888	10163
437	7905	10143
438	7922	10124
439	7940	10105
440	7957	10086
441	7974	10067
442	7991	10048
443	8008	10028
444	8025	10009
445	8042	9990
446	8059	9971
447	8076	9951
448	8094	9932
449	8110	9913
450	8128	9894
451	8145	9875
452	8162	9856
453	8179	9836
454	8196	9818
455	8213	9798
456	8230	9779
457	8247	9760
458	8264	9741
459	8282	9722
460	8299	9703
461	8316	9684
462	8332	9664
463	8349	9645
464	8367	9627
465	8384	9608
466	8401	9588
467	8418	9569
468	8435	9551
469	8452	9531
470	8469	9512
471	8486	9493
472	8503	9473
473	8519	9454
474	8537	9435
475	8554	9416
476	8571	9398
477	8588	9379
478	8605	9360
479	8623	9341
480	8640	9322
481	8657	9304
482	8675	9285
483	8692	9267
484	8709	9248
485	8726	9229
486	8744	9211
487	8762	9193
488	8779	9174
489	8797	9156
490	8816	9139
491	8834	9122
492	8852	9104
493	8871	9087
494	8889	9069
495	8907	9051
496	8925	9033
497	8943	9015
498	8961	8997
499	8979	8979
500	8998	8962
501	9016	8944
502	9035	8927
503	9052	8909
504	9070	8890
505	9088	8872
506	9106	8854
507	9124	8836
508	9142	8819
509	9160	8801
510	9179	8784
511	9199	8767
512	9217	8750
513	9235	8732
514	9253	8714
515	9272	8697
516	9291	8680
517	9309	8662
518	9329	8646
519	9347	8628
520	9365	8610
521	9383	8592
522	9401	8575
523	9421	8558
524	9439	8540
525	9458	8523
526	9476	8505
527	9494	8487
528	9512	8469
529	9530	8451
530	9549	8434
531	9567	8416
532	9585	8398
533	9603	8380
534	9620	8361
535	9638	8343
536	9657	8326
537	9675	8308
538	9692	8289
539	9709	8271
540	9727	8252
541	9744	8234
542	9761	8215
543	9779	8197
544	9796	8178
545	9813	8160
546	9832	8142
547	9849	8124
548	9867	8106
549	9885	8087
550	9902	8069
551	9920	8051
552	9938	8033
553	9956	8015
554	9974	7997
555	9991	7979
556	10009	7961
557	10028	7943
558	10046	7925
559	10063	7907
560	10080	7888
561	10098	7870
